id,name,category,country,state,district,normalizedName,startingLetter,endingLetter
subdistrict-2222,Tisri,subdistrict,India,,,tisri,T,I
subdistrict-2223,Dumri,subdistrict,India,,,dumri,D,I
subdistrict-2224,Ranishwar,subdistrict,India,,,ranishwar,R,R
subdistrict-2225,Nagar Untari,subdistrict,India,,,nagaruntari,N,I
subdistrict-2226,Jaldega,subdistrict,India,,,jaldega,J,A
subdistrict-2227,Tonto,subdistrict,India,,,tonto,T,O
subdistrict-2228,Seraikella,subdistrict,India,,,seraikella,S,A
subdistrict-2229,Jarmundi,subdistrict,India,,,jarmundi,J,I
subdistrict-2230,Basia,subdistrict,India,,,basia,B,A
subdistrict-2231,Torpa,subdistrict,India,,,torpa,T,A
subdistrict-2232,Kharaundhi,subdistrict,India,,,kharaundhi,K,I
subdistrict-2233,Littipara,subdistrict,India,,,littipara,L,A
subdistrict-2234,Khunti,subdistrict,India,,,khunti,K,I
subdistrict-2235,Sikaripara,subdistrict,India,,,sikaripara,S,A
subdistrict-2236,Deori,subdistrict,India,,,deori,D,I
subdistrict-2237,Satgawan,subdistrict,India,,,satgawan,S,N
subdistrict-2238,Danda,subdistrict,India,,,danda,D,A
subdistrict-2239,Barwadih,subdistrict,India,,,barwadih,B,H
subdistrict-2240,Tamar,subdistrict,India,,,tamar,T,R
subdistrict-2241,Masaliya,subdistrict,India,,,masaliya,M,A
subdistrict-2242,Manoharpur,subdistrict,India,,,manoharpur,M,R
subdistrict-2243,Garu,subdistrict,India,,,garu,G,U
subdistrict-2244,Chakradharpur,subdistrict,India,,,chakradharpur,C,R
subdistrict-2245,Simaria,subdistrict,India,,,simaria,S,A
subdistrict-2246,Palojori,subdistrict,India,,,palojori,P,I
subdistrict-2247,Kuchai,subdistrict,India,,,kuchai,K,I
subdistrict-2248,Godda,subdistrict,India,,,godda,G,A
subdistrict-2249,Ghaghra,subdistrict,India,,,ghaghra,G,A
subdistrict-2250,Bengabad,subdistrict,India,,,bengabad,B,D
subdistrict-2251,Namkum,subdistrict,India,,,namkum,N,M
subdistrict-2252,Kanke,subdistrict,India,,,kanke,K,E
subdistrict-2253,Boarijor,subdistrict,India,,,boarijor,B,R
subdistrict-2254,Chitarpur,subdistrict,India,,,chitarpur,C,R
subdistrict-2255,Patratu,subdistrict,India,,,patratu,P,U
subdistrict-2256,Barhait,subdistrict,India,,,barhait,B,T
subdistrict-2257,Bishunpur,subdistrict,India,,,bishunpur,B,R
subdistrict-2258,Hatgamharia,subdistrict,India,,,hatgamharia,H,A
